section,name,town,province,tier,phone,address,specs,description
Trunks & valigeria,Emilio Scolari,Brugherio,MB,Verified,039 2912261,Via S. Domenico Savio 16,,"Trunk maker since 1922, three generations. Every element specified by the client: covering leather and fabric, colours, metal fittings, and the interior — drawers, shelves, hanging rails, shoe racks."
Trunks & valigeria,Andrea Tavelli,Milano,MI,Verified,,,,"Bespoke leather cases built around an object: fitted luggage sets for sports cars, wine trunks, helmet cases, watch cases."
Trunks & valigeria,La Casa della Valigia,Malnate,VA,Verified,,,,"Decorative trunks, wardrobe trunks and fitted trunks made to order — the reference bench for the Varese side."
Trunks & valigeria,Valigeria Valla,Canneto Pavese,PV,Register lead,,Fraz. Beria 1/E,,"Makes and repairs leather articles by hand, including to measure. Small, and the only trunk bench in the Oltrepò."
"Astucci, cases & rigid boxes",Confalonieri,Milano,MI,Verified,02 344609,Via M. Porcio Catone 27,,"Milanese since 1889 and still a family bench. Wooden cases and boxes for watches, jewellery and eyewear, covered in leather or fabric with satin or velvet interiors. The closest match on this list to what your watch boxes are."
"Astucci, cases & rigid boxes",Ve.Lia Astucci,Rozzano,MI,Verified,02 8256241,Viale Toscana 24/26,,"Cases for watches and pens, sized to the object, snap closures, padded and lined bases. Made-to-measure models on request."
"Astucci, cases & rigid boxes",Boxteam Design,Gaggiano,MI,Verified,02 90841132,Via Belgio 19,,"Cofanetti for jewellery, personal cases and special packaging, all as contract work."
"Astucci, cases & rigid boxes",Kartolab,Cusano Milanino,MI,Verified,02 87071235,Via Zucchi 39G,,"Cartotecnica and bookbinding under one roof: cofanetti, astucci and covered boxes made to measure. Has worked for Acqua di Parma, Cassina, Cappellini and Poliform."
"Astucci, cases & rigid boxes",L'Ottagono,Biassono,MB,Verified,039 462227,Via Trento e Trieste 116,,"Luxury cofanetti with magnetic closures, interior mirrors, engraved logos and bespoke finishes. Cosmetics, fashion, design, hospitality."
"Astucci, cases & rigid boxes",Montanelli 3,Burago di Molgora,MB,Verified,039 666255,Via G. Galilei 10,,"Cases for cosmetics, jewellery and perfumery. Hot lamination and material coupling in house — the address to try for an unusual covering."
"Astucci, cases & rigid boxes",Faenza Couture Packaging,Rodano,MI,Verified,0546 637300,,,"Rigid bottom-and-lid boxes from one piece to a thousand at the same quality, prototypes turned the same day. FSC paper, ISO 9001 and 14001."
"Astucci, cases & rigid boxes",Pozzoli,Inzago,MI,Verified,,Via G. di Vittorio 11,,"Rigid and folding boxes for cosmetics and perfumery at industrial scale. Embossing, hot foil, UV varnish, soft-touch, pearlescent and 3D effects; in-house R&D."
"Astucci, cases & rigid boxes",ISEM,Vigevano,PV,Verified,,,,"European leader in luxury rigid boxes for perfumery, cosmetics and champagne — Coty, L'Oréal, Shiseido, LVMH. A 25,000 m² plant. Volumes far above a small house, but this is the benchmark."
"Astucci, cases & rigid boxes",Cartotecnica Licini,Merate,LC,Register lead,,,,"Rigid and wrapped boxes, folding cases, display units."
"Astucci, cases & rigid boxes",Cartotecnica Stucchi,Carnate,MB,Register lead,,,,"Rigid and wrapped boxes, paper shoppers and envelopes."
"Astucci, cases & rigid boxes",Cartotecnica Garanzini,Magenta,MI,Register lead,,,,"Rigid and wrapped boxes, folding cases, paper envelopes."
"Astucci, cases & rigid boxes",Albertini Packaging Group,Robecco sul Naviglio,MI,Register lead,,,,"Rigid and wrapped boxes, folding cases, labels."
"Astucci, cases & rigid boxes",Cartotecnica Sangiorgio,Albavilla,CO,Register lead,,,,"Rigid and wrapped boxes, folding cases, paper envelopes."
"Astucci, cases & rigid boxes",Cartotecnica L.P.E.,Cassano Magnago,VA,Register lead,,,,"Rigid and wrapped boxes, folding cases, corrugated."
"Astucci, cases & rigid boxes",Arte Grafica Valsecchi,Malgrate,LC,Register lead,,,,"Rigid and wrapped boxes, folding cases."
"Astucci, cases & rigid boxes",Accoplast,Vittuone,MI,Register lead,,,,"Folding cases, rigid and wrapped boxes, paper bags."
"Astucci, cases & rigid boxes",Cart Service,Legnano,MI,Register lead,,,,"Folding cases, rigid and wrapped boxes, corrugated."
"Astucci, cases & rigid boxes",Carton Pack International,Lainate,MI,Register lead,,,,"Folding cases, rigid and wrapped boxes, corrugated."
"Astucci, cases & rigid boxes",Addressotak,Milano,MI,Register lead,,,,"Folding cases, rigid and wrapped boxes, corrugated."
The supply side,Zuma Pelli Pregiate,Italy,IT,Verified,,,,"6,500 m² tannery, thirty-plus staff, CITES-certified alligator, crocodile, python, lizard and ostrich for the luxury market. Start here for skins, then ask a workshop whether it will cut client-supplied CITES material."
The supply side,La Patrie,Italy,IT,Verified,,,,"Tanning and finishing of American alligator, African crocodile, caiman, ostrich and python."
The supply side,Bookbinder's Board Manufacturing,Rho,MI,Register lead,,,,Board for rigid boxes and stationery — the substrate under a covered case.
The supply side,Tranceria Mangolini,Vigevano,PV,Register lead,0381 22122,Via L. Calabresi 9,,Die-cutting house.
The supply side,Fustellificio Elle PI,Vigevano,PV,Register lead,,,,"Forty years making cutting dies for footwear, clothing and leather goods."
The supply side,Coltex,Gambolò,PV,Register lead,,,,Industrial cutting blades for leather and textiles.
